latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
35.18209,128.60725,308.29,1.22,1.1,2023-04-09,0209,T,0,6.1NRT,296.28,9.7,D
35.22136,128.18619,306.92,1.17,1.08,2023-04-09,0209,T,57,6.1NRT,291.43,7.91,D
35.09635,128.85402,310.78,1.26,1.11,2023-04-09,0209,T,52,6.1NRT,298.76,11.11,D
35.094,128.86742,311.86,1.26,1.11,2023-04-09,0209,T,0,6.1NRT,298.82,11.5,D
35.1733,128.12241,310.05,1.16,1.07,2023-04-09,0209,T,55,6.1NRT,297.22,7.41,D
35.06697,128.05782,310.78,1.16,1.07,2023-04-09,0209,T,0,6.1NRT,297.66,8.88,D
35.0649,128.07011,310.54,1.16,1.07,2023-04-09,0209,T,60,6.1NRT,297.11,9.04,D
35.18795,126.8024,310.43,1.05,1.02,2023-04-09,0209,T,47,6.1NRT,298.18,7.85,D
34.89599,127.34951,303.87,1.09,1.04,2023-04-09,0209,T,36,6.1NRT,293.15,4.65,D
34.77198,127.86436,305.12,1.15,1.07,2023-04-09,0209,T,41,6.1NRT,291.67,7.15,D
32.82845,131.24156,305.97,1.93,1.36,2023-04-09,0209,T,63,6.1NRT,283.79,21.91,D
32.82378,131.23358,303.46,1.93,1.36,2023-04-09,0209,T,56,6.1NRT,284.63,16.87,D
33.47792,116.17274,313.95,2.58,1.54,2023-04-09,0211,T,74,6.1NRT,294.22,40.49,D
32.27809,119.91051,307.04,1.42,1.18,2023-04-09,0211,T,50,6.1NRT,293.5,7.43,D
32.16212,117.23727,304.04,2.11,1.41,2023-04-09,0211,T,29,6.1NRT,290.82,8.44,D
31.45228,121.42717,312.2,1.16,1.07,2023-04-09,0211,T,0,6.1NRT,298.35,5.62,D
31.31321,117.98676,300.85,1.83,1.32,2023-04-09,0211,T,29,6.1NRT,288.11,6.05,D
30.31373,119.77875,308.85,1.37,1.16,2023-04-09,0211,T,54,6.1NRT,296.39,8.28,D
30.31213,119.79269,306.97,1.36,1.16,2023-04-09,0211,T,46,6.1NRT,296.09,6.45,D
29.63388,121.93452,304.4,1.07,1.03,2023-04-09,0211,T,0,6.1NRT,293.65,4.33,D
29.275,121.9372,305.67,1.06,1.03,2023-04-09,0211,T,44,6.1NRT,294.77,5.03,D
29.17965,120.98283,310.74,1.15,1.07,2023-04-09,0211,T,52,6.1NRT,295.57,8.56,D
28.27396,119.03334,309.52,1.43,1.18,2023-04-09,0211,T,67,6.1NRT,291.23,13.85,D
27.797,118.07878,303.11,1.62,1.25,2023-04-09,0211,T,0,6.1NRT,291.88,7.05,D
27.8821,116.4168,305.83,2.12,1.41,2023-04-09,0211,T,57,6.1NRT,294.21,9.51,D
27.88091,116.41094,305.86,2.12,1.41,2023-04-09,0211,T,53,6.1NRT,294,9.74,D
27.04592,119.27924,303.29,1.33,1.14,2023-04-09,0211,T,53,6.1NRT,292.68,7.05,D
26.64433,118.88813,304.78,1.39,1.17,2023-04-09,0211,T,51,6.1NRT,291.93,6.7,D
26.63872,118.84554,303.39,1.4,1.17,2023-04-09,0211,T,29,6.1NRT,290,4.96,D
26.63717,118.85897,331.1,1.39,1.17,2023-04-09,0211,T,82,6.1NRT,293.13,45.36,D
26.6356,118.87262,326.8,1.39,1.17,2023-04-09,0211,T,85,6.1NRT,294.39,36.6,D
26.43883,118.57005,302.32,1.44,1.19,2023-04-09,0211,T,37,6.1NRT,291.04,7.05,D
25.40853,114.37735,303.68,2.76,1.59,2023-04-09,0213,T,56,6.1NRT,288.03,17.86,D
17.68015,120.843,330.51,1,1,2023-04-09,0215,T,82,6.1NRT,304.81,18.57,D
17.6002,121.01899,316.58,1,1,2023-04-09,0215,T,58,6.1NRT,297,8.17,D
17.56184,121.08224,312.36,1,1,2023-04-09,0215,T,43,6.1NRT,292.16,9.54,D
17.56049,121.09142,320.52,1,1,2023-04-09,0215,T,71,6.1NRT,293.46,16.77,D
17.33889,120.6523,322.26,1,1,2023-04-09,0215,T,75,6.1NRT,299.96,12.42,D
16.79688,120.63514,317.91,1,1,2023-04-09,0215,T,62,6.1NRT,299.93,10.33,D
16.78804,120.63379,330.28,1,1,2023-04-09,0215,T,84,6.1NRT,297.25,23.5,D
16.78671,120.64294,318.9,1,1,2023-04-09,0215,T,61,6.1NRT,299.16,10.9,D
16.7514,120.63754,350.09,1,1,2023-04-09,0215,T,95,6.1NRT,302.99,57.12,D
16.75006,120.64669,320.11,1,1,2023-04-09,0215,T,65,6.1NRT,301.12,11.57,D
16.74257,120.63618,316.95,1,1,2023-04-09,0215,T,48,6.1NRT,298.93,9.25,D
16.48269,121.2702,317.38,1.01,1.01,2023-04-09,0215,T,68,6.1NRT,296.25,9.9,D
16.06274,120.92852,321.1,1,1,2023-04-09,0215,T,71,6.1NRT,297.36,14.66,D
15.78384,120.82001,324.38,1,1,2023-04-09,0215,T,31,6.1NRT,306.47,10.07,D
15.76486,120.05709,321.22,1,1,2023-04-09,0215,T,45,6.1NRT,298.48,8.28,D
15.48021,120.68299,328.77,1,1,2023-04-09,0215,T,78,6.1NRT,305.85,13.12,D
15.47079,120.74702,321.33,1,1,2023-04-09,0215,T,59,6.1NRT,302.69,7.8,D
15.43789,120.46523,342.81,1,1,2023-04-09,0215,T,90,6.1NRT,306.45,34.67,D
15.29557,120.74517,319.12,1,1,2023-04-09,0215,T,44,6.1NRT,302.79,5.86,D
15.2274,121.0826,322.82,1.02,1.01,2023-04-09,0215,T,70,6.1NRT,303.35,8.54,D
15.31707,120.08965,326.46,1,1,2023-04-09,0215,T,60,6.1NRT,302.03,13.62,D
15.31576,120.09875,324.27,1,1,2023-04-09,0215,T,35,6.1NRT,301.35,11.28,D
15.22656,120.70986,323.21,1,1,2023-04-09,0215,T,59,6.1NRT,302.66,10.16,D
15.23966,120.49715,320.08,1,1,2023-04-09,0215,T,62,6.1NRT,304.32,7.9,D
15.03711,120.74313,324.29,1.01,1,2023-04-09,0215,T,46,6.1NRT,303.05,11.28,D
15.02824,120.74177,332.04,1.01,1,2023-04-09,0215,T,81,6.1NRT,303.91,20.78,D
15.07291,120.37537,315.43,1,1,2023-04-09,0215,T,38,6.1NRT,298.99,8.47,D
14.97918,120.448,330.56,1,1,2023-04-09,0215,T,41,6.1NRT,307.26,16.85,D
13.27591,120.79573,323.24,1.02,1.01,2023-04-09,0217,T,72,6.1NRT,302.06,14.41,D
13.08759,121.00856,319.57,1.04,1.02,2023-04-09,0217,T,36,6.1NRT,300.95,11.21,D
12.98297,120.90417,327.19,1.03,1.02,2023-04-09,0217,T,79,6.1NRT,303.08,14.76,D
12.48059,121.055,318.69,1.05,1.02,2023-04-09,0217,T,30,6.1NRT,302.14,7.02,D
9.85451,122.61292,317.26,1.34,1.15,2023-04-09,0217,T,64,6.1NRT,295.84,12.67,D
7.73256,122.8699,309.03,1.5,1.21,2023-04-09,0217,T,54,6.1NRT,289.56,7.68,D
7.22071,124.24675,316.21,1.95,1.36,2023-04-09,0217,T,27,6.1NRT,297.11,18.42,D
7.20867,124.24483,315.78,1.95,1.36,2023-04-09,0217,T,30,6.1NRT,297.06,18.12,D
3.28671,113.08727,316.78,1.64,1.26,2023-04-09,0219,T,57,6.1NRT,295.29,14.81,D
-13.51134,-172.57315,312.92,4.47,1.94,2023-04-09,0206,A,37,6.1NRT,296.78,55.92,D
-13.51147,-172.57755,312.94,4.47,1.94,2023-04-09,0206,A,46,6.1NRT,296.89,57.67,D
52.70387,126.57256,301.13,1.24,1.11,2023-04-09,0204,T,45,6.1NRT,279.68,8.18,D
51.56893,128.81943,325.76,1.05,1.02,2023-04-09,0204,T,67,6.1NRT,279.1,25.59,D
51.56175,128.8112,334.97,1.05,1.02,2023-04-09,0204,T,80,6.1NRT,278.75,39.04,D
51.55986,128.82596,323.69,1.05,1.02,2023-04-09,0204,T,73,6.1NRT,277.38,24.21,D
51.54945,128.76112,334.6,1.05,1.02,2023-04-09,0204,T,75,6.1NRT,277.18,36.68,D
51.54044,128.75824,324.04,1.05,1.02,2023-04-09,0204,T,59,6.1NRT,275.46,23.13,D
51.52808,128.70808,359.77,1.05,1.02,2023-04-09,0204,T,99,6.1NRT,279.87,92.26,D
51.5262,128.7229,343.41,1.05,1.02,2023-04-09,0204,T,87,6.1NRT,276.75,51.79,D
51.51491,128.81157,303.55,1.05,1.02,2023-04-09,0204,T,23,6.1NRT,273.25,7.32,D
51.51907,128.70522,317.59,1.05,1.02,2023-04-09,0204,T,78,6.1NRT,274.56,18.28,D
51.5172,128.72002,315.2,1.05,1.02,2023-04-09,0204,T,75,6.1NRT,272.96,15.85,D
51.49763,128.65213,301.13,1.05,1.02,2023-04-09,0204,T,45,6.1NRT,272.41,7.54,D
51.36774,128.28833,307.84,1.07,1.03,2023-04-09,0204,T,44,6.1NRT,280.35,9.64,D
51.36589,128.30338,306.3,1.07,1.03,2023-04-09,0204,T,38,6.1NRT,280.14,8.65,D
51.06271,119.38722,313,2.54,1.53,2023-04-09,0206,T,45,6.1NRT,278.3,48.59,D
51.03691,119.34812,347.89,2.55,1.54,2023-04-09,0206,T,95,6.1NRT,279.74,221.73,D
51.02321,119.34567,330.19,2.55,1.54,2023-04-09,0206,T,43,6.1NRT,277.79,106.42,D
51.00947,119.34391,323.33,2.55,1.54,2023-04-09,0206,T,77,6.1NRT,277.68,82.62,D
51.0308,119.33949,344.8,2.55,1.54,2023-04-09,0206,T,81,6.1NRT,278.97,195.99,D
51.00331,119.3364,322.87,2.55,1.54,2023-04-09,0206,T,78,6.1NRT,277.8,81.51,D
50.04145,129.11311,330.46,1.01,1.01,2023-04-09,0206,T,82,6.1NRT,279.87,31.71,D
50.03957,129.12692,317.35,1.01,1.01,2023-04-09,0206,T,78,6.1NRT,278.96,17.11,D
50.03262,129.11023,334.77,1.01,1.01,2023-04-09,0206,T,89,6.1NRT,279.82,36.71,D
50.03074,129.12405,326.78,1.01,1.01,2023-04-09,0206,T,85,6.1NRT,279.61,26.03,D
